iShares S&P 500 Value ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Mar 31, 2017"
Total Net Assets,"13,633,070,389.59"
Shares Outstanding,"131,050,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"XOM","EXXON MOBIL CORP","Equity","3.66","82.01","6,083,649.00","498,920,054.49","498,920,054.49","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","3.40","166.68","2,786,587.00","464,468,321.16","464,468,321.16","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","3.37","87.84","5,240,684.00","460,341,682.56","460,341,682.56","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"T","AT&T INC","Equity","2.74","41.55","9,010,739.00","374,396,205.45","374,396,205.45","Telecommunications","2831811","US00206R1023","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","2.70","55.66","6,606,722.00","367,730,146.52","367,730,146.52","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","2.54","23.59","14,708,577.00","346,975,331.43","346,975,331.43","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","2.19","107.37","2,777,508.00","298,221,033.96","298,221,033.96","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"CSCO","CISCO SYSTEMS INC","Equity","1.82","33.80","7,347,386.00","248,341,646.80","248,341,646.80","Information Technology","2198163","US17275R1023","NASDAQ"
"C","CITIGROUP INC","Equity","1.78","59.82","4,065,107.00","243,174,700.74","243,174,700.74","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"GE","GENERAL ELECTRIC","Equity","1.48","29.80","6,784,403.00","202,175,209.40","202,175,209.40","Industrials","2380498","US3696041033","New York Stock Exchange Inc."
"JNJ","JOHNSON & JOHNSON","Equity","1.42","124.55","1,552,569.00","193,372,468.95","193,372,468.95","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.26","89.85","1,912,903.00","171,874,334.55","171,874,334.55","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"MDT","MEDTRONIC PLC","Equity","1.19","80.56","2,008,390.00","161,795,898.40","161,795,898.40","Health Care","BTN1Y11","IE00BTN1Y115","New York Stock Exchange Inc."
"WMT","WALMART STORES INC","Equity","1.17","72.08","2,209,360.00","159,250,668.80","159,250,668.80","Consumer Staples","2936921","US9311421039","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","1.00","48.75","2,810,890.00","137,030,887.50","137,030,887.50","Telecommunications","2090571","US92343V1044","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","0.96","34.21","3,842,265.00","131,443,885.65","131,443,885.65","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"INTC","INTEL CORPORATION CORP","Equity","0.95","36.07","3,607,130.00","130,109,179.10","130,109,179.10","Information Technology","2463247","US4581401001","NASDAQ"
"GS","GOLDMAN SACHS GROUP INC","Equity","0.92","229.72","543,574.00","124,869,819.28","124,869,819.28","Financials","2407966","US38141G1040","New York Stock Exchange Inc."
"UTX","UNITED TECHNOLOGIES CORP","Equity","0.90","112.21","1,099,574.00","123,383,198.54","123,383,198.54","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
"CVS","CVS HEALTH CORP","Equity","0.87","78.50","1,504,879.00","118,133,001.50","118,133,001.50","Consumer Staples","2577609","US1266501006","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","0.86","42.44","2,777,968.00","117,896,961.92","117,896,961.92","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"AGN","ALLERGAN","Equity","0.86","238.92","491,834.00","117,508,979.28","117,508,979.28","Health Care","BY9D546","IE00BY9D5467","New York Stock Exchange Inc."
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","0.85","112.90","1,024,267.00","115,639,744.30","115,639,744.30","Consumer Staples","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"ABT","ABBOTT LABORATORIES","Equity","0.83","44.41","2,535,274.00","112,591,518.34","112,591,518.34","Health Care","2002305","US0028241000","New York Stock Exchange Inc."
"COST","COSTCO WHOLESALE CORP","Equity","0.79","167.69","644,003.00","107,992,863.07","107,992,863.07","Consumer Staples","2701271","US22160K1051","NASDAQ"
"DOW","DOW CHEMICAL","Equity","0.76","63.54","1,637,726.00","104,061,110.04","104,061,110.04","Materials","2278719","US2605431038","New York Stock Exchange Inc."
"WBA","WALGREEN BOOTS ALLIANCE","Equity","0.76","83.05","1,251,107.00","103,904,436.35","103,904,436.35","Consumer Staples","BTN1Y44","US9314271084","NASDAQ"
"PEP","PEPSICO INC","Equity","0.76","111.86","921,346.00","103,061,763.56","103,061,763.56","Consumer Staples","2681511","US7134481081","New York Stock Exchange Inc."
"DIS","WALT DISNEY","Equity","0.73","113.39","875,091.00","99,226,568.49","99,226,568.49","Consumer Discretionary","2270726","US2546871060","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","0.71","63.54","1,530,726.00","97,262,330.04","97,262,330.04","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Equity","0.71","43.08","2,239,803.00","96,490,713.24","96,490,713.24","Consumer Staples","B8CKK03","US6092071058","NASDAQ"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","0.69","174.14","541,502.00","94,297,158.28","94,297,158.28","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"CB","CHUBB LTD","Equity","0.68","136.25","683,382.00","93,110,797.50","93,110,797.50","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"COP","CONOCOPHILLIPS","Equity","0.66","49.87","1,813,178.00","90,423,186.86","90,423,186.86","Energy","2685717","US20825C1045","New York Stock Exchange Inc."
"MS","MORGAN STANLEY","Equity","0.66","42.84","2,108,249.00","90,317,387.16","90,317,387.16","Financials","2262314","US6174464486","New York Stock Exchange Inc."
"SLB","SCHLUMBERGER NV","Equity","0.64","78.10","1,124,978.00","87,860,781.80","87,860,781.80","Energy","2779201","AN8068571086","New York Stock Exchange Inc."
"PNC","PNC FINANCIAL SERVICES GROUP INC","Equity","0.63","120.24","713,275.00","85,764,186.00","85,764,186.00","Financials","2692665","US6934751057","New York Stock Exchange Inc."
"AIG","AMERICAN INTERNATIONAL GROUP INC","Equity","0.62","62.43","1,365,325.00","85,237,239.75","85,237,239.75","Financials","2027342","US0268747849","New York Stock Exchange Inc."
"MET","METLIFE INC","Equity","0.62","52.82","1,595,193.00","84,258,094.26","84,258,094.26","Financials","2573209","US59156R1086","New York Stock Exchange Inc."
"DUK","DUKE ENERGY CORP","Equity","0.62","82.01","1,026,449.00","84,179,082.49","84,179,082.49","Utilities","B7VD3F2","US26441C2044","New York Stock Exchange Inc."
"ORCL","ORACLE CORP","Equity","0.60","44.61","1,846,827.00","82,386,952.47","82,386,952.47","Information Technology","2661568","US68389X1054","New York Stock Exchange Inc."
"AMGN","AMGEN INC","Equity","0.58","164.07","486,226.00","79,775,099.82","79,775,099.82","Health Care","2023607","US0311621009","NASDAQ"
"KHC","KRAFT HEINZ","Equity","0.58","90.81","875,017.00","79,460,293.77","79,460,293.77","Consumer Staples","BYRY499","US5007541064","NASDAQ"
"SO","SOUTHERN","Equity","0.53","49.78","1,454,042.00","72,382,210.76","72,382,210.76","Utilities","2829601","US8425871071","New York Stock Exchange Inc."
"BK","BANK OF NEW YORK MELLON CORP","Equity","0.53","47.23","1,522,126.00","71,890,010.98","71,890,010.98","Financials","B1Z77F6","US0640581007","New York Stock Exchange Inc."
"GM","GENERAL MOTORS","Equity","0.52","35.36","1,999,972.00","70,719,009.92","70,719,009.92","Consumer Discretionary","B665KZ5","US37045V1008","New York Stock Exchange Inc."
"PRU","PRUDENTIAL FINANCIAL INC","Equity","0.49","106.68","630,885.00","67,302,811.80","67,302,811.80","Financials","2819118","US7443201022","New York Stock Exchange Inc."
"LLY","ELI LILLY","Equity","0.49","84.11","797,748.00","67,098,584.28","67,098,584.28","Health Care","2516152","US5324571083","New York Stock Exchange Inc."
"F","F MOTOR","Equity","0.49","11.64","5,727,025.00","66,662,571.00","66,662,571.00","Consumer Discretionary","2615468","US3453708600","New York Stock Exchange Inc."
"ANTM","ANTHEM INC","Equity","0.47","165.38","387,890.00","64,149,248.20","64,149,248.20","Health Care","BSPHGL4","US0367521038","New York Stock Exchange Inc."
"KMI","KINDER MORGAN INC","Equity","0.45","21.74","2,816,820.00","61,237,666.80","61,237,666.80","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc."
"COF","CAPITAL ONE FINANCIAL CORP","Equity","0.45","86.66","705,185.00","61,111,332.10","61,111,332.10","Financials","2654461","US14040H1059","New York Stock Exchange Inc."
"BMY","BRISTOL MYERS SQUIBB","Equity","0.44","54.38","1,104,372.00","60,055,749.36","60,055,749.36","Health Care","2126335","US1101221083","New York Stock Exchange Inc."
"YHOO","YAHOO! INC","Equity","0.44","46.41","1,287,875.00","59,770,278.75","59,770,278.75","Information Technology","2986539","US9843321061","NASDAQ"
"MCD","MCDONALDS CORP","Equity","0.43","129.61","456,609.00","59,181,092.49","59,181,092.49","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"ESRX","EXPRESS SCRIPTS HOLDING CO","Equity","0.43","65.91","888,696.00","58,573,953.36","58,573,953.36","Health Care","B7QQYV9","US30219G1085","NASDAQ"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Equity","0.43","42.12","1,377,249.00","58,009,727.88","58,009,727.88","Industrials","BY7QL61","IE00BY7QL619","New York Stock Exchange Inc."
"HPE","HEWLETT PACKARD ENTERPRISE","Equity","0.42","23.70","2,442,573.00","57,888,980.10","57,888,980.10","Information Technology","BYVYWS0","US42824C1099","New York Stock Exchange Inc."
"HON","HONEYWELL INTERNATIONAL INC","Equity","0.42","124.87","457,890.00","57,176,724.30","57,176,724.30","Industrials","2020459","US4385161066","New York Stock Exchange Inc."
"CI","CIGNA CORP","Equity","0.40","146.49","377,140.00","55,247,238.60","55,247,238.60","Health Care","2196479","US1255091092","New York Stock Exchange Inc."
"MMM","3M CO","Equity","0.39","191.33","279,914.00","53,555,945.62","53,555,945.62","Industrials","2595708","US88579Y1010","New York Stock Exchange Inc."
"BBT","BB AND T CORP","Equity","0.39","44.70","1,186,053.00","53,016,569.10","53,016,569.10","Financials","2830904","US0549371070","New York Stock Exchange Inc."
"USB","US BANCORP","Equity","0.39","51.50","1,028,000.00","52,942,000.00","52,942,000.00","Financials","2736035","US9029733048","New York Stock Exchange Inc."
"PSX","PHILLIPS 66","Equity","0.38","79.22","647,243.00","51,274,590.46","51,274,590.46","Energy","B78C4Y8","US7185461040","New York Stock Exchange Inc."
"DD","E I DU PONT DE NEMOURS","Equity","0.37","80.33","634,240.00","50,948,499.20","50,948,499.20","Materials","2018175","US2635341090","New York Stock Exchange Inc."
"TRV","TRAVELERS COMPANIES INC","Equity","0.36","120.54","410,345.00","49,462,986.30","49,462,986.30","Financials","2769503","US89417E1091","New York Stock Exchange Inc."
"PCG","PG&E CORP","Equity","0.36","66.36","743,699.00","49,351,865.64","49,351,865.64","Utilities","2689560","US69331C1080","New York Stock Exchange Inc."
"DAL","DELTA AIR LINES INC","Equity","0.36","45.96","1,072,167.00","49,276,795.32","49,276,795.32","Industrials","B1W9D46","US2473617023","New York Stock Exchange Inc."
"ETN","EATON CORPORATION PLC","Equity","0.36","74.15","659,788.00","48,923,280.20","48,923,280.20","Industrials","B8KQN82","IE00B8KQN827","New York Stock Exchange Inc."
"EXC","EXELON CORP","Equity","0.36","35.98","1,359,466.00","48,913,586.68","48,913,586.68","Utilities","2670519","US30161N1019","New York Stock Exchange Inc."
"BA","BOEING","Equity","0.36","176.86","275,784.00","48,775,158.24","48,775,158.24","Industrials","2108601","US0970231058","New York Stock Exchange Inc."
