iShares S&P 500 Value ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Apr 28, 2017"
Total Net Assets,"13,597,286,152.59"
Shares Outstanding,"130,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"PNC","PNC FINANCIAL SERVICES GROUP INC","Equity","0.63","119.75","711,371.00","85,186,677.25","85,186,677.25","Financials","2692665","US6934751057","New York Stock Exchange Inc."
"DUK","DUKE ENERGY CORP","Equity","0.62","82.50","1,025,366.00","84,592,695.00","84,592,695.00","Utilities","B7VD3F2","US26441C2044","New York Stock Exchange Inc."
"AIG","AMERICAN INTERNATIONAL GROUP INC","Equity","0.61","60.91","1,363,860.00","83,072,712.60","83,072,712.60","Financials","2027342","US0268747849","New York Stock Exchange Inc."
"ORCL","ORACLE CORP","Equity","0.61","44.96","1,844,945.00","82,948,727.20","82,948,727.20","Information Technology","2661568","US68389X1054","New York Stock Exchange Inc."
"MET","METLIFE INC","Equity","0.61","51.81","1,593,508.00","82,559,649.48","82,559,649.48","Financials","2573209","US59156R1086","New York Stock Exchange Inc."
"SLB","SCHLUMBERGER NV","Equity","0.60","72.59","1,123,712.00","81,570,254.08","81,570,254.08","Energy","2779201","AN8068571086","New York Stock Exchange Inc."
"AMGN","AMGEN INC","Equity","0.58","163.32","485,754.00","79,333,343.28","79,333,343.28","Health Care","2023607","US0311621009","NASDAQ"
"KHC","KRAFT HEINZ","Equity","0.58","90.39","874,179.00","79,017,039.81","79,017,039.81","Consumer Staples","BYRY499","US5007541064","NASDAQ"
"SO","SOUTHERN","Equity","0.53","49.80","1,452,893.00","72,354,071.40","72,354,071.40","Utilities","2829601","US8425871071","New York Stock Exchange Inc."
"BK","BANK OF NEW YORK MELLON CORP","Equity","0.53","47.06","1,520,942.00","71,575,530.52","71,575,530.52","Financials","B1Z77F6","US0640581007","New York Stock Exchange Inc."
"GM","GENERAL MOTORS","Equity","0.51","34.64","1,998,475.00","69,227,174.00","69,227,174.00","Consumer Discretionary","B665KZ5","US37045V1008","New York Stock Exchange Inc."
