iShares S&P 500 Value ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Oct 31, 2017"
Total Net Assets,"14,277,776,816.64"
Shares Outstanding,"130,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"AGN","ALLERGAN","Equity","0.61","177.23","491,871.00","87,174,297.33","87,174,297.33","Health Care","BY9D546","IE00BY9D5467","New York Stock Exchange Inc."
"AIG","AMERICAN INTERNATIONAL GROUP INC","Equity","0.60","64.61","1,329,197.00","85,879,418.17","85,879,418.17","Financials","2027342","US0268747849","New York Stock Exchange Inc."
"AMGN","AMGEN INC","Equity","0.59","175.22","483,129.00","84,653,863.38","84,653,863.38","Health Care","2023607","US0311621009","NASDAQ"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","0.59","154.06","548,354.00","84,479,417.24","84,479,417.24","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","0.59","55.09","1,529,257.00","84,246,768.13","84,246,768.13","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"MET","METLIFE INC","Equity","0.59","53.58","1,563,833.00","83,790,172.14","83,790,172.14","Financials","2573209","US59156R1086","New York Stock Exchange Inc."
"GM","GENERAL MOTORS","Equity","0.58","42.98","1,929,638.00","82,935,841.24","82,935,841.24","Consumer Discretionary","B665KZ5","US37045V1008","New York Stock Exchange Inc."
"ANTM","ANTHEM INC","Equity","0.57","209.21","386,362.00","80,830,794.02","80,830,794.02","Health Care","BSPHGL4","US0367521038","New York Stock Exchange Inc."
"BK","BANK OF NEW YORK MELLON CORP","Equity","0.55","51.45","1,520,102.00","78,209,247.90","78,209,247.90","Financials","B1Z77F6","US0640581007","New York Stock Exchange Inc."
"SO","SOUTHERN","Equity","0.54","52.20","1,470,543.00","76,762,344.60","76,762,344.60","Utilities","2829601","US8425871071","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","0.53","166.91","452,866.00","75,587,864.06","75,587,864.06","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"CI","CIGNA CORP","Equity","0.51","197.22","370,464.00","73,062,910.08","73,062,910.08","Health Care","2196479","US1255091092","New York Stock Exchange Inc."
"MU","MICRON TECHNOLOGY INC","Equity","0.51","44.31","1,639,169.00","72,631,578.39","72,631,578.39","Information Technology","2588184","US5951121038","NASDAQ"
"SLB","SCHLUMBERGER NV","Equity","0.50","64.00","1,124,411.00","71,962,304.00","71,962,304.00","Energy","2779201","AN8068571086","New York Stock Exchange Inc."
"F","F MOTOR","Equity","0.49","12.27","5,754,552.00","70,608,353.04","70,608,353.04","Consumer Discretionary","2615468","US3453708600","New York Stock Exchange Inc."
"BA","BOEING","Equity","0.49","257.98","269,767.00","69,594,490.66","69,594,490.66","Industrials","2108601","US0970231058","New York Stock Exchange Inc."
"PRU","PRUDENTIAL FINANCIAL INC","Equity","0.49","110.46","628,248.00","69,396,274.08","69,396,274.08","Financials","2819118","US7443201022","New York Stock Exchange Inc."
"KHC","KRAFT HEINZ","Equity","0.48","77.33","878,307.00","67,919,480.31","67,919,480.31","Consumer Staples","BYRY499","US5007541064","NASDAQ"
"BMY","BRISTOL MYERS SQUIBB","Equity","0.47","61.66","1,085,785.00","66,949,503.10","66,949,503.10","Health Care","2126335","US1101221083","New York Stock Exchange Inc."
"HON","HONEYWELL INTERNATIONAL INC","Equity","0.46","144.16","459,884.00","66,296,877.44","66,296,877.44","Industrials","2020459","US4385161066","New York Stock Exchange Inc."
"COF","CAPITAL ONE FINANCIAL CORP","Equity","0.46","92.18","711,666.00","65,601,371.88","65,601,371.88","Financials","2654461","US14040H1059","New York Stock Exchange Inc."
"LLY","ELI LILLY","Equity","0.46","81.94","798,285.00","65,411,472.90","65,411,472.90","Health Care","2516152","US5324571083","New York Stock Exchange Inc."
"MMM","3M","Equity","0.45","230.19","280,954.00","64,672,801.26","64,672,801.26","Industrials","2595708","US88579Y1010","New York Stock Exchange Inc."
"BBT","BB AND T CORP","Equity","0.41","49.24","1,188,943.00","58,543,553.32","58,543,553.32","Financials","2830904","US0549371070","New York Stock Exchange Inc."
"PSX","PHILLIPS","Equity","0.40","91.08","632,197.00","57,580,502.76","57,580,502.76","Energy","B78C4Y8","US7185461040","New York Stock Exchange Inc."
"EXC","EXELON CORP","Equity","0.40","40.21","1,412,600.00","56,800,646.00","56,800,646.00","Utilities","2670519","US30161N1019","New York Stock Exchange Inc."
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Equity","0.40","41.39","1,371,841.00","56,780,498.99","56,780,498.99","Industrials","BY7QL61","IE00BY7QL619","New York Stock Exchange Inc."
"CAT","CATERPILLAR INC","Equity","0.40","135.80","417,386.00","56,681,018.80","56,681,018.80","Industrials","2180201","US1491231015","New York Stock Exchange Inc."
"USB","US BANCORP","Equity","0.39","54.38","1,028,763.00","55,944,131.94","55,944,131.94","Financials","2736035","US9029733048","New York Stock Exchange Inc."
"NSC","NORFOLK SOUTHERN CORP","Equity","0.39","131.42","424,005.00","55,722,737.10","55,722,737.10","Industrials","2641894","US6558441084","New York Stock Exchange Inc."
"NEE","NEXTERA ENERGY INC","Equity","0.38","155.07","351,285.00","54,473,764.95","54,473,764.95","Utilities","2328915","US65339F1012","New York Stock Exchange Inc."
"AEP","AMERICAN ELECTRIC POWER INC","Equity","0.38","74.41","723,672.00","53,848,433.52","53,848,433.52","Utilities","2026242","US0255371017","New York Stock Exchange Inc."
"TRV","TRAVELERS COMPANIES INC","Equity","0.38","132.45","405,998.00","53,774,435.10","53,774,435.10","Financials","2769503","US89417E1091","New York Stock Exchange Inc."
"AXP","AMERICAN EXPRESS","Equity","0.38","95.52","561,366.00","53,621,680.32","53,621,680.32","Financials","2026082","US0258161092","New York Stock Exchange Inc."
"HPQ","HP INC","Equity","0.37","21.55","2,457,464.00","52,958,349.20","52,958,349.20","Information Technology","BYX4D52","US40434L1052","New York Stock Exchange Inc."
"ETN","EATON PLC","Equity","0.37","80.02","654,437.00","52,368,048.74","52,368,048.74","Industrials","B8KQN82","IE00B8KQN827","New York Stock Exchange Inc."
"ESRX","EXPRESS SCRIPTS HOLDING","Equity","0.36","61.29","849,769.00","52,082,342.01","52,082,342.01","Health Care","B7QQYV9","US30219G1085","NASDAQ"
"VLO","VALERO ENERGY CORP","Equity","0.36","78.89","649,812.00","51,263,668.68","51,263,668.68","Energy","2041364","US91913Y1001","New York Stock Exchange Inc."
"KMI","KINDER MORGAN INC","Equity","0.36","18.11","2,824,801.00","51,157,146.11","51,157,146.11","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc."
"STT","STATE STREET CORP","Equity","0.35","92.00","550,194.00","50,617,848.00","50,617,848.00","Financials","2842040","US8574771031","New York Stock Exchange Inc."
"ALL","ALLSTATE CORP","Equity","0.35","93.86","531,666.00","49,902,170.76","49,902,170.76","Financials","2019952","US0200021014","New York Stock Exchange Inc."
"LYB","LYONDELLBASELL INDUSTRIES NV CLASS","Equity","0.35","103.53","477,552.00","49,440,958.56","49,440,958.56","Materials","B3SPXZ3","NL0009434992","New York Stock Exchange Inc."
"DAL","DELTA AIR LINES INC","Equity","0.34","50.03","980,075.00","49,033,152.25","49,033,152.25","Industrials","B1W9D46","US2473617023","New York Stock Exchange Inc."
"AFL","AFLAC INC","Equity","0.34","83.89","581,496.00","48,781,699.44","48,781,699.44","Financials","2026361","US0010551028","New York Stock Exchange Inc."
"BAX","BAXTER INTERNATIONAL INC","Equity","0.33","64.47","737,549.00","47,549,784.03","47,549,784.03","Health Care","2085102","US0718131099","New York Stock Exchange Inc."
"TGT","TARGET CORP","Equity","0.33","59.04","803,603.00","47,444,721.12","47,444,721.12","Consumer Discretionary","2259101","US87612E1064","New York Stock Exchange Inc."
"NKE","NIKE INC CLASS B","Equity","0.32","54.99","831,305.00","45,713,461.95","45,713,461.95","Consumer Discretionary","2640147","US6541061031","New York Stock Exchange Inc."
"TMO","THERMO FISHER SCIENTIFIC INC","Equity","0.31","193.83","229,655.00","44,514,028.65","44,514,028.65","Health Care","2886907","US8835561023","New York Stock Exchange Inc."
"MPC","MARATHON PETROLEUM CORP","Equity","0.31","59.74","744,875.00","44,498,832.50","44,498,832.50","Energy","B3K3L40","US56585A1025","New York Stock Exchange Inc."
"BLK","BLACKROCK INC","Equity","0.31","470.83","93,032.00","43,802,256.56","43,802,256.56","Financials","2494504","US09247X1019","New York Stock Exchange Inc."
"PCG","PG&E CORP","Equity","0.31","57.77","754,507.00","43,587,869.39","43,587,869.39","Utilities","2689560","US69331C1080","New York Stock Exchange Inc."
"SRE","SEMPRA ENERGY","Equity","0.30","117.50","369,407.00","43,405,322.50","43,405,322.50","Utilities","2138158","US8168511090","New York Stock Exchange Inc."
"MCK","MCKESSON CORP","Equity","0.30","137.88","309,350.00","42,653,178.00","42,653,178.00","Health Care","2378534","US58155Q1031","New York Stock Exchange Inc."
"STI","SUNTRUST BANKS INC","Equity","0.30","60.21","706,144.00","42,516,930.24","42,516,930.24","Financials","2860990","US8679141031","New York Stock Exchange Inc."
"UNP","UNION PACIFIC CORP","Equity","0.30","115.79","365,084.00","42,273,076.36","42,273,076.36","Industrials","2914734","US9078181081","New York Stock Exchange Inc."
"PGR","PROGRESSIVE CORP","Equity","0.29","48.65","856,150.00","41,651,697.50","41,651,697.50","Financials","2705024","US7433151039","New York Stock Exchange Inc."
"OXY","OCCIDENTAL PETROLEUM CORP","Equity","0.29","64.57","641,215.00","41,403,252.55","41,403,252.55","Energy","2655408","US6745991058","New York Stock Exchange Inc."
"EOG","EOG RESOURCES INC","Equity","0.29","99.87","407,819.00","40,728,883.53","40,728,883.53","Energy","2318024","US26875P1012","New York Stock Exchange Inc."
"D","DOMINION ENERGY INC","Equity","0.28","81.14","501,110.00","40,660,065.40","40,660,065.40","Utilities","2542049","US25746U1097","New York Stock Exchange Inc."
"CL","COLGATE-PALMOLIVE","Equity","0.28","70.45","570,219.00","40,171,928.55","40,171,928.55","Consumer Staples","2209106","US1941621039","New York Stock Exchange Inc."
"CCL","CARNIVAL CORP","Equity","0.28","66.39","600,029.00","39,835,925.31","39,835,925.31","Consumer Discretionary","2523044","PA1436583006","New York Stock Exchange Inc."
"WY","WEYERHAEUSER REIT","Equity","0.28","35.91","1,107,798.00","39,781,026.18","39,781,026.18","Real Estate","2958936","US9621661043","New York Stock Exchange Inc."
"ED","CONSOLIDATED EDISON INC","Equity","0.27","86.05","455,835.00","39,224,601.75","39,224,601.75","Utilities","2216850","US2091151041","New York Stock Exchange Inc."
"DLPH","DELPHI AUTOMOTIVE PLC","Equity","0.27","99.38","392,610.00","39,017,581.80","39,017,581.80","Consumer Discretionary","B783TY6","JE00B783TY65","New York Stock Exchange Inc."
"DHR","DANAHER CORP","Equity","0.27","92.27","422,764.00","39,008,434.28","39,008,434.28","Health Care","2250870","US2358511028","New York Stock Exchange Inc."
"WDC","WESTERN DIGITAL CORP","Equity","0.27","89.27","433,863.00","38,730,950.01","38,730,950.01","Information Technology","2954699","US9581021055","NASDAQ"
"EIX","EDISON INTERNATIONAL","Equity","0.27","79.95","479,362.00","38,324,991.90","38,324,991.90","Utilities","2829515","US2810201077","New York Stock Exchange Inc."
"PPL","PPL CORP","Equity","0.26","37.56","1,005,160.00","37,753,809.60","37,753,809.60","Utilities","2680905","US69351T1060","New York Stock Exchange Inc."
"MTB","M&T BANK CORP","Equity","0.26","166.77","223,521.00","37,276,597.17","37,276,597.17","Financials","2340168","US55261F1049","New York Stock Exchange Inc."
"XEL","XCEL ENERGY INC","Equity","0.26","49.52","747,102.00","36,996,491.04","36,996,491.04","Utilities","2614807","US98389B1008","New York Stock Exchange Inc."
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Equity","0.26","49.20","744,333.00","36,621,183.60","36,621,183.60","Utilities","2707677","US7445731067","New York Stock Exchange Inc."
"SYF","SYNCHRONY FINANCIAL","Equity","0.25","32.62","1,099,961.00","35,880,727.82","35,880,727.82","Financials","BP96PS6","US87165B1035","New York Stock Exchange Inc."
"LOW","LOWES COMPANIES INC","Equity","0.25","79.95","447,169.00","35,751,161.55","35,751,161.55","Consumer Discretionary","2536763","US5486611073","New York Stock Exchange Inc."
"IP","INTERNATIONAL PAPER","Equity","0.24","57.27","607,493.00","34,791,124.11","34,791,124.11","Materials","2465254","US4601461035","New York Stock Exchange Inc."
"ADM","ARCHER DANIELS MIDLAND","Equity","0.24","40.87","827,670.00","33,826,872.90","33,826,872.90","Consumer Staples","2047317","US0394831020","New York Stock Exchange Inc."
"EBAY","EBAY INC","Equity","0.24","37.64","893,395.00","33,627,387.80","33,627,387.80","Information Technology","2293819","US2786421030","NASDAQ"
"HPE","HEWLETT PACKARD ENTERPRISE","Equity","0.23","13.92","2,406,182.00","33,494,053.44","33,494,053.44","Information Technology","BYVYWS0","US42824C1099","New York Stock Exchange Inc."
"VFC","VF CORP","Equity","0.23","69.65","480,700.00","33,480,755.00","33,480,755.00","Consumer Discretionary","2928683","US9182041080","New York Stock Exchange Inc."
"EMR","EMERSON ELECTRIC","Equity","0.23","64.46","508,488.00","32,777,136.48","32,777,136.48","Industrials","2313405","US2910111044","New York Stock Exchange Inc."
"DE","DEERE","Equity","0.22","132.88","240,028.00","31,894,920.64","31,894,920.64","Industrials","2261203","US2441991054","New York Stock Exchange Inc."
"WLTW","WILLIS TOWERS WATSON PLC","Equity","0.22","161.08","197,546.00","31,820,709.68","31,820,709.68","Financials","BDB6Q21","IE00BDB6Q211","NASDAQ"
"FITB","FIFTH THIRD BANCORP","Equity","0.22","28.90","1,083,946.00","31,326,039.40","31,326,039.40","Financials","2336747","US3167731005","NASDAQ"
"TSN","TYSON FOODS INC CLASS A","Equity","0.22","72.91","425,619.00","31,031,881.29","31,031,881.29","Consumer Staples","2909730","US9024941034","New York Stock Exchange Inc."
"AAL","AMERICAN AIRLINES GROUP INC","Equity","0.21","46.82","637,737.00","29,858,846.34","29,858,846.34","Industrials","BCV7KT2","US02376R1023","NASDAQ"
"HIG","HARTFORD FINANCIAL SERVICES GROUP","Equity","0.21","55.05","536,008.00","29,507,240.40","29,507,240.40","Financials","2476193","US4165151048","New York Stock Exchange Inc."
"ES","EVERSOURCE ENERGY","Equity","0.20","62.64","466,231.00","29,204,709.84","29,204,709.84","Utilities","BVVN4Q8","US30040W1080","New York Stock Exchange Inc."
"DTE","DTE ENERGY","Equity","0.20","110.46","263,941.00","29,154,922.86","29,154,922.86","Utilities","2280220","US2333311072","New York Stock Exchange Inc."
"CAH","CARDINAL HEALTH INC","Equity","0.20","61.90","465,607.00","28,821,073.30","28,821,073.30","Health Care","2175672","US14149Y1082","New York Stock Exchange Inc."
"MYL","MYLAN NV","Equity","0.20","35.71","789,059.00","28,177,296.89","28,177,296.89","Health Care","BVFMFG8","NL0011031208","NASDAQ"
"KMB","KIMBERLY CLARK CORP","Equity","0.20","112.51","249,498.00","28,071,019.98","28,071,019.98","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc."
"BLKFDS","BLK CSH FND TREASURY SL AGENCY","Money Market","0.20","1.00","27,948,633.00","27,948,633.25","27,948,633.25","Cash and/or Derivatives","-","US0669224778","-"
"KR","KROGER","Equity","0.19","20.70","1,320,299.00","27,330,189.30","27,330,189.30","Consumer Staples","2497406","US5010441013","New York Stock Exchange Inc."
"RF","REGIONS FINANCIAL CORP","Equity","0.19","15.48","1,758,342.00","27,219,134.16","27,219,134.16","Financials","B01R311","US7591EP1005","New York Stock Exchange Inc."
"PX","PRAXAIR INC","Equity","0.19","146.12","185,203.00","27,061,862.36","27,061,862.36","Materials","2699291","US74005P1049","New York Stock Exchange Inc."
"PFG","PRINCIPAL FINANCIAL GROUP INC","Equity","0.18","65.85","395,388.00","26,036,299.80","26,036,299.80","Financials","2803014","US74251V1026","New York Stock Exchange Inc."
"MON","MONSANTO","Equity","0.18","121.10","213,328.00","25,834,020.80","25,834,020.80","Materials","2654320","US61166W1018","New York Stock Exchange Inc."
"RTN","RAYTHEON","Equity","0.18","180.20","141,368.00","25,474,513.60","25,474,513.60","Industrials","2758051","US7551115071","New York Stock Exchange Inc."
"CME","CME GROUP INC CLASS A","Equity","0.18","137.17","185,055.00","25,383,994.35","25,383,994.35","Financials","2965839","US12572Q1058","NASDAQ"
"CSX","CSX CORP","Equity","0.18","50.43","497,195.00","25,073,543.85","25,073,543.85","Industrials","2160753","US1264081035","NASDAQ"
"LNC","LINCOLN NATIONAL CORP","Equity","0.17","75.78","325,249.00","24,647,369.22","24,647,369.22","Financials","2516378","US5341871094","New York Stock Exchange Inc."
"SPG","SIMON PROPERTY GROUP REIT INC","Equity","0.17","155.33","155,972.00","24,227,130.76","24,227,130.76","Real Estate","2812452","US8288061091","New York Stock Exchange Inc."
"CNC","CENTENE CORP","Equity","0.17","93.67","253,768.00","23,770,448.56","23,770,448.56","Health Care","2807061","US15135B1017","New York Stock Exchange Inc."
