iShares S&P 500 Value ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Feb 28, 2018"
Total Net Assets,"14,859,877,023.74"
Shares Outstanding,"132,350,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"COP","CONOCOPHILLIPS","Equity","0.59","54.31","1,621,024.00","88,037,813.44","88,037,813.44","Energy","2685717","US20825C1045","New York Stock Exchange Inc."
"QCOM","QUALCOMM INC","Equity","0.57","65.00","1,299,280.00","84,453,200.00","84,453,200.00","Information Technology","2714923","US7475251036","NASDAQ"
"MDT","MEDTRONIC PLC","Equity","0.56","79.89","1,046,167.00","83,578,281.63","83,578,281.63","Health Care","BTN1Y11","IE00BTN1Y115","New York Stock Exchange Inc."
"DHR","DANAHER CORP","Equity","0.55","97.78","830,000.00","81,157,400.00","81,157,400.00","Health Care","2250870","US2358511028","New York Stock Exchange Inc."
"WBA","WALGREEN BOOTS ALLIANCE INC","Equity","0.55","68.89","1,177,254.00","81,101,028.06","81,101,028.06","Consumer Staples","BTN1Y44","US9314271084","NASDAQ"
"BK","BANK OF NEW YORK MELLON CORP","Equity","0.53","57.03","1,388,505.00","79,186,440.15","79,186,440.15","Financials","B1Z77F6","US0640581007","New York Stock Exchange Inc."
"AMGN","AMGEN INC","Equity","0.50","183.77","403,560.00","74,162,221.20","74,162,221.20","Health Care","2023607","US0311621009","NASDAQ"
"MO","ALTRIA GROUP INC","Equity","0.48","62.95","1,138,437.00","71,664,609.15","71,664,609.15","Consumer Staples","2692632","US02209S1033","New York Stock Exchange Inc."
"DUK","DUKE ENERGY CORP","Equity","0.48","75.34","949,088.00","71,504,289.92","71,504,289.92","Utilities","B7VD3F2","US26441C2044","New York Stock Exchange Inc."
"AIG","AMERICAN INTERNATIONAL GROUP INC","Equity","0.47","57.34","1,218,932.00","69,893,560.88","69,893,560.88","Financials","2027342","US0268747849","New York Stock Exchange Inc."
"AGN","ALLERGAN","Equity","0.47","154.22","450,957.00","69,546,588.54","69,546,588.54","Health Care","BY9D546","IE00BY9D5467","New York Stock Exchange Inc."
"GM","GENERAL MOTORS","Equity","0.46","39.35","1,733,478.00","68,212,359.30","68,212,359.30","Consumer Discretionary","B665KZ5","US37045V1008","New York Stock Exchange Inc."
"OXY","OCCIDENTAL PETROLEUM CORP","Equity","0.46","65.60","1,037,612.00","68,067,347.20","68,067,347.20","Energy","2655408","US6745991058","New York Stock Exchange Inc."
"UNP","UNION PACIFIC CORP","Equity","0.45","130.25","512,437.00","66,744,919.25","66,744,919.25","Industrials","2914734","US9078181081","New York Stock Exchange Inc."
"MET","METLIFE INC","Equity","0.44","46.19","1,426,824.00","65,905,000.56","65,905,000.56","Financials","2573209","US59156R1086","New York Stock Exchange Inc."
"COF","CAPITAL ONE FINANCIAL CORP","Equity","0.43","97.93","657,436.00","64,382,707.48","64,382,707.48","Financials","2654461","US14040H1059","New York Stock Exchange Inc."
"HON","HONEYWELL INTERNATIONAL INC","Equity","0.43","151.11","423,624.00","64,013,822.64","64,013,822.64","Industrials","2020459","US4385161066","New York Stock Exchange Inc."
"PRU","PRUDENTIAL FINANCIAL INC","Equity","0.41","106.32","574,989.00","61,132,830.48","61,132,830.48","Financials","2819118","US7443201022","New York Stock Exchange Inc."
"CAT","CATERPILLAR INC","Equity","0.40","154.63","387,390.00","59,902,115.70","59,902,115.70","Industrials","2180201","US1491231015","New York Stock Exchange Inc."
"SO","SOUTHERN","Equity","0.39","43.06","1,361,646.00","58,632,476.76","58,632,476.76","Utilities","2829601","US8425871071","New York Stock Exchange Inc."
"BBT","BB AND T CORP","Equity","0.39","54.35","1,070,381.00","58,175,207.35","58,175,207.35","Financials","2830904","US0549371070","New York Stock Exchange Inc."
"ESRX","EXPRESS SCRIPTS HOLDING","Equity","0.39","75.45","768,318.00","57,969,593.10","57,969,593.10","Health Care","B7QQYV9","US30219G1085","NASDAQ"
"F","F MOTOR","Equity","0.38","10.61","5,293,457.00","56,163,578.77","56,163,578.77","Consumer Discretionary","2615468","US3453708600","New York Stock Exchange Inc."
"TGT","TARGET CORP","Equity","0.37","75.41","737,595.00","55,622,038.95","55,622,038.95","Consumer Discretionary","2259101","US87612E1064","New York Stock Exchange Inc."
"HAL","HALLIBURTON","Equity","0.37","46.42","1,183,555.00","54,940,623.10","54,940,623.10","Energy","2405302","US4062161017","New York Stock Exchange Inc."
"BMY","BRISTOL MYERS SQUIBB","Equity","0.37","66.20","821,902.00","54,409,912.40","54,409,912.40","Health Care","2126335","US1101221083","New York Stock Exchange Inc."
"KHC","KRAFT HEINZ","Equity","0.37","67.05","809,906.00","54,304,197.30","54,304,197.30","Consumer Staples","BYRY499","US5007541064","NASDAQ"
"VLO","VALERO ENERGY CORP","Equity","0.36","90.42","593,752.00","53,687,055.84","53,687,055.84","Energy","2041364","US91913Y1001","New York Stock Exchange Inc."
"STT","STATE STREET CORP","Equity","0.36","106.15","503,217.00","53,416,484.55","53,416,484.55","Financials","2842040","US8574771031","New York Stock Exchange Inc."
"HPQ","HP INC","Equity","0.36","23.39","2,266,749.00","53,019,259.11","53,019,259.11","Information Technology","BYX4D52","US40434L1052","New York Stock Exchange Inc."
"HUM","HUMANA INC","Equity","0.35","271.82","193,858.00","52,694,481.56","52,694,481.56","Health Care","2445063","US4448591028","New York Stock Exchange Inc."
"FOXA","TWENTY FIRST CENTURY FOX INC CLASS","Equity","0.35","36.82","1,430,321.00","52,664,419.22","52,664,419.22","Consumer Discretionary","BBM4S68","US90130A1016","NASDAQ"
"EOG","EOG RESOURCES INC","Equity","0.35","101.42","509,930.00","51,717,100.60","51,717,100.60","Energy","2318024","US26875P1012","New York Stock Exchange Inc."
"TRV","TRAVELERS COMPANIES INC","Equity","0.35","139.00","371,413.00","51,626,407.00","51,626,407.00","Financials","2769503","US89417E1091","New York Stock Exchange Inc."
"PSX","PHILLIPS","Equity","0.35","90.37","569,331.00","51,450,442.47","51,450,442.47","Energy","B78C4Y8","US7185461040","New York Stock Exchange Inc."
"ACN","ACCENTURE PLC CLASS A","Equity","0.34","161.01","310,389.00","49,975,732.89","49,975,732.89","Information Technology","B4BNMY3","IE00B4BNMY34","New York Stock Exchange Inc."
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","0.33","104.41","475,355.00","49,631,815.55","49,631,815.55","Industrials","2517382","US9113121068","New York Stock Exchange Inc."
"GILD","GILEAD SCIENCES INC","Equity","0.33","78.73","620,433.00","48,846,690.09","48,846,690.09","Health Care","2369174","US3755581036","NASDAQ"
"EXC","EXELON CORP","Equity","0.32","37.04","1,303,282.00","48,273,565.28","48,273,565.28","Utilities","2670519","US30161N1019","New York Stock Exchange Inc."
"ETN","EATON PLC","Equity","0.32","80.70","598,047.00","48,262,392.90","48,262,392.90","Industrials","B8KQN82","IE00B8KQN827","New York Stock Exchange Inc."
"DAL","DELTA AIR LINES INC","Equity","0.32","53.90","890,424.00","47,993,853.60","47,993,853.60","Industrials","B1W9D46","US2473617023","New York Stock Exchange Inc."
"NEE","NEXTERA ENERGY INC","Equity","0.32","152.15","312,911.00","47,609,408.65","47,609,408.65","Utilities","2328915","US65339F1012","New York Stock Exchange Inc."
"LYB","LYONDELLBASELL INDUSTRIES NV CLASS","Equity","0.32","108.22","438,996.00","47,508,147.12","47,508,147.12","Materials","B3SPXZ3","NL0009434992","New York Stock Exchange Inc."
"AFL","AFLAC INC","Equity","0.32","88.88","533,766.00","47,441,122.08","47,441,122.08","Financials","2026361","US0010551028","New York Stock Exchange Inc."
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Equity","0.31","36.87","1,256,168.00","46,314,914.16","46,314,914.16","Industrials","BY7QL61","IE00BY7QL619","New York Stock Exchange Inc."
"LMT","LOCKHEED MARTIN CORP","Equity","0.31","352.44","128,725.00","45,367,839.00","45,367,839.00","Industrials","2522096","US5398301094","New York Stock Exchange Inc."
"STI","SUNTRUST BANKS INC","Equity","0.30","69.84","646,389.00","45,143,807.76","45,143,807.76","Financials","2860990","US8679141031","New York Stock Exchange Inc."
